Trio,Paternal GT,Maternal GT,F1 age,Min DP,Max DP,Min AB,Max AB,MVs,# MVs passed,Transmission frequency,Paternal MVs,Maternal MVs,CpG MVs,Sites,CpG sites,Avg DP,Uncallable sites,Percent CpG,SNPs,CpG SNPs,Avg SNP DP,Uncallable SNP sites,Percent CpG,Mutation rate,Total SNPs,Post Filter SNPs,AB filtered SNPs,Min FN,MVs corrected for FN,Mutation rate corrected for FN,Notes
11,4.36,2.95,7.79,10,60,NA,NA,213,28,0.131,89,116,26,2339129884,121139107,35.1999726,132209800,0.051788106,5078,655,22.75797558,16529629,0.12898779,4.59E-08,471532403,456877537,0,0,213,4.59E-08,
12,7.07,12.19,1.08,10,60,NA,NA,154,NA,NA,0,0,18,2342570885,121304104,35.22818778,128768799,0.051782469,3927,455,23.27119939,16534548,0.115864528,3.31E-08,471532403,456877537,0,0,154,3.31E-08,
13,2.78,3.26,5.52,10,60,NA,NA,208,16,0.077,79,123,27,2337939407,120972538,35.21532222,133400277,0.051743231,4965,602,23.81671702,16279539,0.121248741,4.48E-08,471532403,456877537,0,0,208,4.48E-08,
14,4.98,7.38,0.97,10,60,NA,NA,179,NA,NA,0,0,16,2340611302,121204226,35.2598299,130728382,0.05178315,4674,557,22.17950364,16491079,0.119169876,3.85E-08,471532403,456877537,0,0,179,3.85E-08,
1,4.89,5.27,6.83,10,60,0.05,0.95,162,31,0.191,48,36,20,2343717311,121272053,35.18000677,127622373,0.051743464,3438,409,23.08696917,13997318,0.118964514,3.48E-08,471532403,326176655,130700882,0.277183246,224.1231945,4.81E-08,
2,5.67,6.27,1.53,10,60,0.05,0.95,178,NA,NA,0,0,25,2342734537,121322444,35.21566743,128605147,0.05178668,2825,343,22.60955752,14695674,0.121415929,3.82E-08,471532403,326176655,130700882,0.277183246,246.2588187,5.29E-08,
3,6.32,6.93,0.87,10,60,0.05,0.95,205,NA,NA,0,0,14,2342539880,121328909,35.21837068,128799804,0.051793743,3397,365,23.06800118,15514288,0.107447748,4.40E-08,471532403,326176655,130700882,0.277183246,283.6126844,6.09E-08,
4,10.06,10.36,5.58,10,60,0.05,0.95,231,31,0.134,133,87,16,2341491946,121115113,35.29016803,129847738,0.051725616,4286,506,22.5144657,16394091,0.118058796,4.97E-08,471532403,326176655,130700882,0.277183246,319.5830737,6.87E-08,
5,13.12,4.76,1.19,10,60,0.05,0.95,185,NA,NA,0,0,17,2341167185,121149858,35.22565357,130172499,0.051747632,2674,305,23.01346298,15154555,0.114061331,3.98E-08,471532403,326176655,130700882,0.277183246,255.9431543,5.50E-08,
6,5.2,4.65,8.61,10,60,0.05,0.95,277,50,0.181,96,56,28,2334808958,120757643,35.17027342,136530726,0.051720567,5367,667,25.19564002,16390596,0.124277995,5.97E-08,471532403,326176655,130700882,0.277183246,383.2229931,8.26E-08,
